Id,Positions,Price,Area,Time,Date
myDummyTaestExtaernad1,5.0,25.8,SE1,02,2024-02-03
myDummyTaestExtaernad1,10.0,25.8,SE1,03,2024-02-03
myDummyTaestExtaernad1,15.0,25.8,SE1,04,2024-02-03
myDummyTaestExtaernad1,20.0,25.8,SE1,05,2024-02-03
myDummyTaestExtaernad1,5.0,25.8,SE1,06,2024-02-03
myDummyTaestExtaernad1,10.0,25.8,SE1,07,2024-02-03
myDummyTaestExtaernad1,15.0,25.8,SE1,08,2024-02-03
myDummyTaestExtaernad1,20.0,25.8,SE1,09,2024-02-03
myDummyTaestExtaernad1,5.0,25.8,SE1,10,2024-02-03
myDummyTaestExtaernad1,10.0,25.8,SE1,11,2024-02-03
myDummyTaestExtaernad1,15.0,25.8,SE1,12,2024-02-03
myDummyTaestExtaernad1,20.0,25.8,SE1,13,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,5.0,27.8,SE1,23,2024-02-02
e44fd4d4e0e24ab98b4ceffd4a01f9b5,10.0,27.8,SE1,00,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,15.0,27.8,SE1,01,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,20.0,27.8,SE1,02,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,5.0,27.8,SE1,03,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,10.0,27.8,SE1,04,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,15.0,27.8,SE1,05,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,20.0,27.8,SE1,06,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,5.0,27.8,SE1,07,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,10.0,27.8,SE1,08,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,15.0,27.8,SE1,09,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,20.0,27.8,SE1,10,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,5.0,27.8,SE1,11,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,10.0,27.8,SE1,12,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,15.0,27.8,SE1,13,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,20.0,27.8,SE1,14,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,5.0,27.8,SE1,15,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,10.0,27.8,SE1,16,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,15.0,27.8,SE1,17,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,20.0,27.8,SE1,18,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,5.0,27.8,SE1,19,2024-02-03
e44fd4d4e0e24ab98b4ceffd4a01f9b5,10.0,27.8,SE1,20,2024-02-03
